SITE NAME,COUNTRY,LAT,LON,BEARING,Intersection Latitude at Lon 47.1W Line,independent_intersection_lat,difference_deg
Haran,Turkey,36.8638,39.0305,10.0,15,-81.89477431949742,-96.89477431949742
El Paraiso,Peru,-11.9539,-77.1183,38.0,25.1,25.2298570323671,0.12985703236709867
Las Haldas,Peru,-9.701,-78.2964,28.5,39.3,39.40640462343422,0.10640462343422286
Pucará de Tilcara,Argentina,-23.586,-65.404,14.0,45.4,43.82885937748631,-1.5711406225136884
Abydos,Egypt,26.1864,31.9163,-45.0,49.8,49.90285671452496,0.10285671452496103
Palmyra,Syria,34.5504,38.2675,-45.0,51.8,51.69047707201415,-0.10952292798585006
Chupacigarro,Peru,-10.8914,-77.5324,19.0,53,53.10514951087462,0.1051495108746181
Kohunlich,Mexico,18.4147,-88.7915,30.0,53.9,55.64292329486193,1.7429232948619315
Unknown structure,USA,31.6267,-91.8183,40.0,54.2,54.89153417580051,0.6915341758005056
Chan-Chan,Turkey,39.0554,43.357,-39.0,56.8,57.73098826262937,0.93098826262937
Eshnunna (Sumer),Iraq,30.963,46.103,-33.0,59.4,60.387618337397434,0.9876183373974357
Acozac,Mexico,14.8707,-90.6661,24.0,59.8,60.86395519289556,1.0639551928955626
Comalcalco,Algeria,36.3222,5.7351,-36.0,61.7,61.01921158604745,-0.6807884139525555
Mehrgarh,Pakistan,29.3838,67.616,-25.0,63.6,63.43748089292095,-0.16251910707904926
Santa Cecilia Acatitlan,Mexico,19.5525,-99.1733,24.0,64.4,64.51945889053576,0.11945889053575343
Pomac Forest,Peru,-6.4521,-79.8024,13.0,64.4,66.13115017989941,1.7311501798994016
Babylon,Iraq,32.5433,44.4229,-27.0,65.7,66.59567954696789,0.8956795469678838
Izapa,Mexico,14.9233,-92.1801,18.0,67.6,67.7436447495163,0.14364474951631223
Elephantine Pyramid,Egypt,24.0856,32.8855,-15.0,68.6,76.30400853619265,7.70400853619266
Moral Reforma,Mexico,17.768,-91.2995,14.0,71.5,72.47067513406374,0.9706751340637396
Mehrgarh,Pakistan,29.3833,67.614,-18.0,71.6,71.40980531898394,-0.1901946810160524
Labna,Mexico,20.1723,-89.5774,13.0,73,73.55163126160416,0.5516312616041574
Saint-Michel tumulus,France,47.588,-3.073,-17.5,73.3,76.14764968938643,2.8476496893864294
