SITE NAME,COUNTRY,LAT,LON,BEARING,independent_intersection_lat,d_I (current),d_II,d_III,d_IV,d_V,d_min_5pole,nearest_pole_5pole,d_min_6pole,nearest_pole_6pole
Shimao,China,38.5657,110.3252,-38.0,-6.152821570603688,96.15282157060369,82.15282157060369,78.3528215706037,70.25282157060369,58.45282157060369,58.45282157060369,V,48.15282157060369,VI
Inka Uyu,Peru,-15.8922,-69.8888,38.0,14.196994946182066,75.80300505381794,61.803005053817934,58.00300505381794,49.90300505381793,38.10300505381793,38.10300505381793,V,27.803005053817934,VI
Haran,Turkey,36.8638,39.0305,10.0,-81.89477431949742,171.8947743194974,157.8947743194974,154.09477431949742,145.99477431949742,134.1947743194974,134.1947743194974,V,123.89477431949742,VI
Shimao,China,38.5657,110.3252,-26.0,15.132312596985013,74.86768740301498,60.86768740301498,57.067687403014986,48.96768740301498,37.16768740301498,37.16768740301498,V,26.867687403014987,VI
Inka Wasi,Peru,-15.2464,-73.7443,41.5,15.735303747910887,74.26469625208911,60.26469625208911,56.46469625208911,48.364696252089104,36.56469625208911,36.56469625208911,V,26.264696252089113,VI
Pikillaqta,Peru,-13.613,-71.717,40.5,15.73037200124465,74.26962799875535,60.269627998755354,56.46962799875536,48.36962799875535,36.56962799875535,36.56962799875535,V,26.26962799875535,VI
Chincha Paracas Platform Mounds,Peru,-13.5024,-76.045,42.0,18.91421532012268,71.08578467987732,57.08578467987732,53.285784679877324,45.185784679877315,33.38578467987732,33.38578467987732,V,23.08578467987732,VI
Pampa de Las Llamas,Peru,-9.5028,-78.2226,45.0,20.845011810871814,69.15498818912819,55.15498818912819,51.35498818912819,43.254988189128184,31.454988189128184,31.454988189128184,V,21.154988189128186,VI
Lurihuasi,Peru,-10.878,-77.5524,43.0,21.195478648418536,68.80452135158146,54.804521351581464,51.00452135158147,42.90452135158146,31.10452135158146,31.10452135158146,V,20.804521351581464,VI
Pañamarka,Peru,-9.2065,-78.3755,44.5,21.63631019916491,68.36368980083509,54.36368980083509,50.56368980083509,42.463689800835084,30.663689800835087,30.663689800835087,V,20.36368980083509,VI
Caral,Peru,-10.89354,-77.52447,42.5,21.64469879975809,68.35530120024191,54.35530120024191,50.555301200241914,42.455301200241905,30.655301200241908,30.655301200241908,V,20.35530120024191,VI
Caral,Peru,-10.89295,-77.52503,39.5,24.68614942511601,65.31385057488399,51.313850574883986,47.51385057488399,39.41385057488398,27.613850574883987,27.613850574883987,V,17.31385057488399,VI
El Paraiso,Peru,-11.9539,-77.1183,38.0,25.2298570323671,64.77014296763289,50.7701429676329,46.9701429676329,38.870142967632894,27.070142967632897,27.070142967632897,V,16.7701429676329,VI
