SITE NAME,COUNTRY,LAT,LON,BEARING,block
Shimao,China,38.5657,110.3252,-38.0,East Asia
Inka Uyu,Peru,-15.8922,-69.8888,38.0,Americas
Haran,Turkey,36.8638,39.0305,10.0,Middle East
Shimao,China,38.5657,110.3252,-26.0,East Asia
Inka Wasi,Peru,-15.2464,-73.7443,41.5,Americas
Pikillaqta,Peru,-13.613,-71.717,40.5,Americas
Chincha Paracas Platform Mounds,Peru,-13.5024,-76.045,42.0,Americas
Pampa de Las Llamas,Peru,-9.5028,-78.2226,45.0,Americas
Lurihuasi,Peru,-10.878,-77.5524,43.0,Americas
Pañamarka,Peru,-9.2065,-78.3755,44.5,Americas
Caral,Peru,-10.89354,-77.52447,42.5,Americas
Caral,Peru,-10.89295,-77.52503,39.5,Americas
El Paraiso,Peru,-11.9539,-77.1183,38.0,Americas
Kuntur Wasi,Peru,-7.129,-78.8462,42.0,Americas
Acaray,Peru,-11.0584,-77.533,38.0,Americas
Cusco,Peru,-13.5077,-71.9822,31.0,Americas
El Paraíso,Peru,-11.9539,-77.118,36.5,Americas
Miraya,Peru,-10.8807,-77.5408,37.0,Americas
Chincha Paracas Platform Mounds,Peru,-13.5024,-76.045,34.0,Americas
Las Haldas,Peru,-9.7031,-78.2965,37.0,Americas
Caral,Peru,-10.8926,-77.5252,35.5,Americas
Caral,Peru,-10.8844,-77.5407,35.0,Americas
Pyramids of Cochasqui,Ecuador,0.0546,-78.306,42.0,Americas
Cusco,Peru,-13.5077,-71.9822,28.0,Americas
Wari Willka,Peru,-12.1176,-75.2061,31.0,Americas
Pyramids of Cochasqui,Ecuador,0.0546,-78.306,40.0,Americas
Allpacoto,Peru,-10.8795,-77.5121,33.0,Americas
Chankillo,Peru,-9.5495,-78.2299,34.0,Americas
Pyramids of Cochasqui,Ecuador,0.0546,-78.306,39.0,Americas
Capilla,Peru,-10.9038,-77.378,32.0,Americas
Lurihuasi,Peru,-10.8758,-77.5506,32.0,Americas
Miraya,Peru,-10.8828,-77.5399,32.0,Americas
Caral,Peru,-10.8912,-77.5186,32.0,Americas
Allpacoto,Peru,-10.8805,-77.5156,32.0,Americas
Pyramids of Cochasqui,Ecuador,0.0546,-78.306,38.0,Americas
Pyramids of Cochasqui,Ecuador,0.0546,-78.306,37.0,Americas
Caral,Peru,-10.88905,-77.5256,31.0,Americas
Caral,Peru,-10.8903,-77.52403,31.0,Americas
Caral,Peru,-10.89091,-77.52333,31.0,Americas
Caral,Peru,-10.89305,-77.5224,31.0,Americas
Caral,Peru,-10.89292,-77.52187,31.0,Americas
Calca,Peru,-13.4142,-71.8439,25.0,Americas
Caral,Peru,-10.8886,-77.5256,30.5,Americas
Caral,Peru,-10.88264,-77.53849,30.0,Americas
Caral,Peru,-10.889,-77.52685,30.0,Americas
Chankillo,Peru,-9.56,-78.2284,31.0,Americas
