centre_lat,observed_count
45.0,15
45.25,15
45.5,14
45.75,14
46.0,14
46.25,13
46.5,9
46.75,13
47.0,12
47.25,13
47.5,15
47.75,16
48.0,15
48.25,19
48.5,24
48.75,30
49.0,33
49.25,35
49.5,35
49.75,32
50.0,39
50.25,41
50.5,43
50.75,46
51.0,51
51.25,49
51.5,47
51.75,49
52.0,48
52.25,56
52.5,59
52.75,66
53.0,66
53.25,64
53.5,62
53.75,58
54.0,55
54.25,57
54.5,58
54.75,53
55.0,53
55.25,45
55.5,45
55.75,40
56.0,35
56.25,38
56.5,40
56.75,42
57.0,41
57.25,40
57.5,38
57.75,37
58.0,35
58.25,35
58.5,35
58.75,35
59.0,38
59.25,34
59.5,36
59.75,36
60.0,38
60.25,39
60.5,46
60.75,46
61.0,54
61.25,57
61.5,56
61.75,59
62.0,62
62.25,66
62.5,62
62.75,66
63.0,71
63.25,71
63.5,73
63.75,75
64.0,71
64.25,68
64.5,77
64.75,83
65.0,78
65.25,75
65.5,75
65.75,75
66.0,71
66.25,69
66.5,62
66.75,59
67.0,58
67.25,59
67.5,50
67.75,43
68.0,43
68.25,43
68.5,46
68.75,47
69.0,50
69.25,51
69.5,54
69.75,63
70.0,74
70.25,76
70.5,83
70.75,85
71.0,87
71.25,98
71.5,103
71.75,111
72.0,119
72.25,118
72.5,113
72.75,106
73.0,95
73.25,94
73.5,95
73.75,96
74.0,101
74.25,100
74.5,99
74.75,90
75.0,87
75.25,90
75.5,97
75.75,110
76.0,115
76.25,115
76.5,103
76.75,100
77.0,92
77.25,82
77.5,79
77.75,78
78.0,70
78.25,72
78.5,65
78.75,53
79.0,50
79.25,51
79.5,56
79.75,56
80.0,56
80.25,55
80.5,56
80.75,57
81.0,56
81.25,49
81.5,50
81.75,53
82.0,48
82.25,45
82.5,45
82.75,43
83.0,45
83.25,49
83.5,45
83.75,43
84.0,41
84.25,41
84.5,40
84.75,35
85.0,37
85.25,36
85.5,32
85.75,31
86.0,27
86.25,23
86.5,24
86.75,22
87.0,24
87.25,26
87.5,26
87.75,29
88.0,28
88.25,32
88.5,108
88.75,106
89.0,106
89.25,104
89.5,100
89.75,98
90.0,95
