SITE_LAT,SITE_LON,coarse,americas_split,fine
38.5657,110.3252,East Asia,East Asia,East Asia
-15.8922,-69.8888,Americas,Am:Andes/S.Am,Am:Andes/S.Am
36.8638,39.0305,Middle East,Middle East,ME:west
38.5657,110.3252,East Asia,East Asia,East Asia
-15.2464,-73.7443,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-13.613,-71.717,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-13.5024,-76.045,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-9.5028,-78.2226,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.878,-77.5524,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-9.2065,-78.3755,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.89354,-77.52447,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.89295,-77.52503,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-11.9539,-77.1183,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-7.129,-78.8462,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-11.0584,-77.533,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-13.5077,-71.9822,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-11.9539,-77.118,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8807,-77.5408,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-13.5024,-76.045,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-9.7031,-78.2965,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8926,-77.5252,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8844,-77.5407,Americas,Am:Andes/S.Am,Am:Andes/S.Am
0.0546,-78.306,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-13.5077,-71.9822,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-12.1176,-75.2061,Americas,Am:Andes/S.Am,Am:Andes/S.Am
0.0546,-78.306,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8795,-77.5121,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-9.5495,-78.2299,Americas,Am:Andes/S.Am,Am:Andes/S.Am
0.0546,-78.306,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.9038,-77.378,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8758,-77.5506,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8828,-77.5399,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8912,-77.5186,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8805,-77.5156,Americas,Am:Andes/S.Am,Am:Andes/S.Am
0.0546,-78.306,Americas,Am:Andes/S.Am,Am:Andes/S.Am
0.0546,-78.306,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.88905,-77.5256,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8903,-77.52403,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.89091,-77.52333,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.89305,-77.5224,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.89292,-77.52187,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-13.4142,-71.8439,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8886,-77.5256,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.88264,-77.53849,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.889,-77.52685,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-9.56,-78.2284,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-11.0248,-77.6323,Americas,Am:Andes/S.Am,Am:Andes/S.Am
0.0546,-78.306,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.88205,-77.53885,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.89475,-77.5118,Americas,Am:Andes/S.Am,Am:Andes/S.Am
34.6237,108.4989,East Asia,East Asia,East Asia
-10.8888,-77.5261,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.89198,-77.52343,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8946,-77.5225,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-13.5024,-76.045,Americas,Am:Andes/S.Am,Am:Andes/S.Am
0.0546,-78.306,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.88362,-77.53823,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8895,-77.5248,Americas,Am:Andes/S.Am,Am:Andes/S.Am
34.6929,72.2496,South Asia,South Asia,South Asia
-10.89415,-77.52395,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8943,-77.52377,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8911,-77.5203,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-9.701,-78.2964,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-14.1743,-71.3702,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-14.1752,-71.3692,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8922,-77.5184,Americas,Am:Andes/S.Am,Am:Andes/S.Am
0.0546,-78.306,Americas,Am:Andes/S.Am,Am:Andes/S.Am
21.1864,94.8905,South Asia,South Asia,South Asia
-10.88342,-77.54085,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8799,-77.5158,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-6.5152,-79.8443,Americas,Am:Andes/S.Am,Am:Andes/S.Am
0.0546,-78.306,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-8.132,-78.995,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-8.1345,-78.99,Americas,Am:Andes/S.Am,Am:Andes/S.Am
21.1836,94.8757,South Asia,South Asia,South Asia
-10.8755,-77.5523,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.89263,-77.52963,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.88978,-77.52511,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.88925,-77.5242,Americas,Am:Andes/S.Am,Am:Andes/S.Am
37.1678,69.4083,South Asia,South Asia,South Asia
-10.8905,-77.5216,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.8918,-77.5203,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-10.89303,-77.51848,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-9.5629,-78.226,Americas,Am:Andes/S.Am,Am:Andes/S.Am
-14.1728,-71.369,Americas,Am:Andes/S.Am,Am:Andes/S.Am
16.141,-92.1064,Americas,Am:Mesoamerica,Am:Mesoamerica
