SITE_LAT,SITE_LON,BEARING,cluster_25km,cluster_50km,cluster_75km,cluster_100km
38.5657,110.3252,-38.0,0,0,0,0
-15.8922,-69.8888,38.0,1,1,1,1
36.8638,39.0305,10.0,2,2,2,2
38.5657,110.3252,-26.0,0,0,0,0
-15.2464,-73.7443,41.5,3,3,3,3
-13.613,-71.717,40.5,4,4,4,4
-13.5024,-76.045,42.0,5,5,5,5
-9.5028,-78.2226,45.0,6,6,6,6
-10.878,-77.5524,43.0,7,7,7,7
-9.2065,-78.3755,44.5,8,6,6,6
-10.89354,-77.52447,42.5,7,7,7,7
-10.89295,-77.52503,39.5,7,7,7,7
-11.9539,-77.1183,38.0,9,8,8,7
-7.129,-78.8462,42.0,10,9,9,8
-11.0584,-77.533,38.0,7,7,7,7
-13.5077,-71.9822,31.0,11,4,4,4
-11.9539,-77.118,36.5,9,8,8,7
-10.8807,-77.5408,37.0,7,7,7,7
-13.5024,-76.045,34.0,5,5,5,5
-9.7031,-78.2965,37.0,6,6,6,6
-10.8926,-77.5252,35.5,7,7,7,7
-10.8844,-77.5407,35.0,7,7,7,7
0.0546,-78.306,42.0,12,10,10,9
-13.5077,-71.9822,28.0,11,4,4,4
-12.1176,-75.2061,31.0,13,11,11,10
0.0546,-78.306,40.0,12,10,10,9
-10.8795,-77.5121,33.0,7,7,7,7
-9.5495,-78.2299,34.0,6,6,6,6
0.0546,-78.306,39.0,12,10,10,9
-10.9038,-77.378,32.0,7,7,7,7
-10.8758,-77.5506,32.0,7,7,7,7
-10.8828,-77.5399,32.0,7,7,7,7
-10.8912,-77.5186,32.0,7,7,7,7
-10.8805,-77.5156,32.0,7,7,7,7
0.0546,-78.306,38.0,12,10,10,9
0.0546,-78.306,37.0,12,10,10,9
-10.88905,-77.5256,31.0,7,7,7,7
-10.8903,-77.52403,31.0,7,7,7,7
-10.89091,-77.52333,31.0,7,7,7,7
-10.89305,-77.5224,31.0,7,7,7,7
-10.89292,-77.52187,31.0,7,7,7,7
-13.4142,-71.8439,25.0,11,4,4,4
-10.8886,-77.5256,30.5,7,7,7,7
-10.88264,-77.53849,30.0,7,7,7,7
-10.889,-77.52685,30.0,7,7,7,7
-9.56,-78.2284,31.0,6,6,6,6
-11.0248,-77.6323,30.0,7,7,7,7
0.0546,-78.306,35.0,12,10,10,9
-10.88205,-77.53885,29.5,7,7,7,7
-10.89475,-77.5118,29.5,7,7,7,7
34.6237,108.4989,-20.0,14,12,12,11
-10.8888,-77.5261,29.0,7,7,7,7
-10.89198,-77.52343,29.0,7,7,7,7
-10.8946,-77.5225,29.0,7,7,7,7
-13.5024,-76.045,27.0,5,5,5,5
0.0546,-78.306,34.0,12,10,10,9
-10.88362,-77.53823,28.5,7,7,7,7
-10.8895,-77.5248,28.5,7,7,7,7
34.6929,72.2496,-43.0,15,13,13,12
-10.89415,-77.52395,28.0,7,7,7,7
-10.8943,-77.52377,28.0,7,7,7,7
-10.8911,-77.5203,28.0,7,7,7,7
-9.701,-78.2964,28.5,6,6,6,6
-14.1743,-71.3702,22.0,16,14,4,4
-14.1752,-71.3692,22.0,16,14,4,4
-10.8922,-77.5184,27.5,7,7,7,7
0.0546,-78.306,32.0,12,10,10,9
21.1864,94.8905,-30.0,17,15,14,13
-10.88342,-77.54085,27.0,7,7,7,7
-10.8799,-77.5158,27.0,7,7,7,7
-6.5152,-79.8443,30.0,18,16,15,8
0.0546,-78.306,31.0,12,10,10,9
-8.132,-78.995,28.0,19,17,16,14
-8.1345,-78.99,28.0,19,17,16,14
21.1836,94.8757,-29.0,17,15,14,13
-10.8755,-77.5523,26.0,7,7,7,7
-10.89263,-77.52963,26.0,7,7,7,7
-10.88978,-77.52511,26.0,7,7,7,7
-10.88925,-77.5242,26.0,7,7,7,7
37.1678,69.4083,-42.0,20,18,17,15
-10.8905,-77.5216,25.5,7,7,7,7
-10.8918,-77.5203,25.5,7,7,7,7
-10.89303,-77.51848,25.5,7,7,7,7
-9.5629,-78.226,26.0,6,6,6,6
-14.1728,-71.369,20.0,16,14,4,4
16.141,-92.1064,45.0,21,19,18,16
16.1419,-92.1056,45.0,21,19,18,16
15.3343,-91.4931,44.0,22,20,18,16
30.6516,61.4016,-44.0,23,21,19,17
16.9001,-90.9675,43.5,24,22,20,16
13.1925,104.9008,-22.0,25,23,21,18
20.1712,-89.5789,45.0,26,24,22,16
-10.8558,-77.5734,24.0,7,7,7,7
-10.8705,-77.5297,24.0,7,7,7,7
-10.8896,-77.52355,24.0,7,7,7,7
-10.89095,-77.52063,24.0,7,7,7,7
-10.89221,-77.51908,24.0,7,7,7,7
20.323,-87.3702,44.0,27,25,22,16
14.8742,-90.6628,41.0,28,20,18,16
-23.586,-65.404,14.0,29,26,23,19
-10.8887,-77.5272,23.5,7,7,7,7
-10.88985,-77.5228,23.5,7,7,7,7
16.1414,-92.1053,41.0,21,19,18,16
31.9063,65.498,-40.0,30,27,24,20
-9.5647,-78.2262,23.0,6,6,6,6
17.7695,-88.6498,39.0,31,28,25,16
19.3296,-98.8897,43.0,32,29,26,21
0.0546,-78.306,25.0,12,10,10,9
-10.89125,-77.53235,22.0,7,7,7,7
-10.8935,-77.5204,22.0,7,7,7,7
21.1823,94.878,-25.0,17,15,14,13
19.0295,-96.156,42.0,33,30,27,22
32.009,48.5215,-44.5,34,31,28,23
18.2174,-88.5847,38.0,35,32,25,16
-8.1165,-79.0765,23.0,19,17,16,14
16.1415,-92.1047,38.0,21,19,18,16
43.5172,67.7708,-39.0,36,33,29,24
-14.1757,-71.3706,17.0,16,14,4,4
14.7358,-90.9962,36.0,37,20,18,16
-10.8901,-77.5225,21.0,7,7,7,7
-10.8935,-77.5194,21.0,7,7,7,7
18.5381,31.823,-43.0,38,34,30,25
25.728,32.61,-45.0,39,35,31,26
20.4495,-97.3772,41.0,40,36,32,21
-11.9531,-77.11865,20.5,9,8,8,7
26.1864,31.9163,-45.0,41,37,33,26
32.3918,44.3413,-44.5,42,38,34,27
22.4588,-102.8226,43.0,43,39,35,28
26.53,31.63,-45.0,44,37,33,26
15.3336,-91.4934,36.0,22,20,18,16
25.7005,32.6399,-44.5,39,35,31,26
19.624,-101.574,41.0,45,40,36,29
19.5539,-97.4892,40.0,46,41,37,21
43.5177,67.7703,-38.0,36,33,29,24
20.496,-87.7205,37.0,47,25,22,16
15.8284,-91.8834,36.0,48,19,18,16
35.37,44.255,-45.0,49,42,38,30
29.9795,52.9092,-41.0,50,43,39,31
20.4496,-97.3751,40.0,40,36,32,21
16.8989,-90.9642,36.0,24,22,20,16
34.423,108.841,-15.0,51,12,12,11
31.322,45.636,-43.0,52,44,40,32
15.3342,-91.4927,35.0,22,20,18,16
-13.393,-72.874,17.0,53,45,41,4
32.0089,48.5203,-42.0,34,31,28,23
21.1605,-99.3959,40.0,54,46,42,33
19.028,-96.154,38.0,33,30,27,22
20.4498,-97.3772,39.0,40,36,32,21
-10.89344,-77.52155,20.0,7,7,7,7
30.2048,53.1801,-40.0,55,43,39,31
2.444,-76.6,22.0,56,47,43,34
25.7195,32.601,-43.0,39,35,31,26
33.0602,44.2512,-43.0,57,48,34,27
20.3196,-87.3669,35.0,27,25,22,16
33.2527,35.7147,-45.0,58,49,44,35
15.3334,-91.4938,34.0,22,20,18,16
16.3952,-90.2044,34.0,59,50,25,16
-8.1346,-78.9924,21.0,19,17,16,14
34.5504,38.2675,-45.0,60,51,45,36
28.6502,-17.7625,-35.0,61,52,46,37
34.4234,108.8366,-14.5,51,12,12,11
34.435,108.877,-14.5,51,12,12,11
-10.8935,-77.5145,19.5,7,7,7,7
33.124,45.931,-42.0,62,53,47,38
16.1419,-92.1063,34.0,21,19,18,16
34.3798,108.7045,-14.5,51,12,12,11
19.6695,-96.4155,37.0,63,54,27,22
24.0845,32.8862,-41.5,64,55,48,39
30.1996,53.178,-39.0,55,43,39,31
15.3336,-91.493,33.0,22,20,18,16
20.4933,-87.7217,34.0,47,25,22,16
35.4586,43.2586,-43.0,65,56,49,30
-6.993,107.056,-20.0,66,57,50,40
-6.5148,-79.8457,21.0,18,16,15,8
15.8282,-91.884,33.0,48,19,18,16
-10.8914,-77.5324,19.0,7,7,7,7
40.1124,44.7303,-44.0,67,58,51,41
16.704,-91.065,33.0,24,22,20,16
21.1786,94.8793,-22.0,17,15,14,13
16.1403,-92.1067,33.0,21,19,18,16
-11.023,-77.6345,19.0,7,7,7,7
28.6502,-17.7625,-33.0,61,52,46,37
32.0095,48.521,-40.0,34,31,28,23
-8.1145,-79.0725,20.0,19,17,16,14
22.7931,32.5454,-40.0,68,59,52,42
32.3923,44.3423,-41.0,42,38,34,27
19.5529,-97.4916,36.0,46,41,37,21
31.1951,30.7385,-43.0,69,60,53,43
30.2027,53.1779,-38.0,55,43,39,31
34.434,108.881,-14.0,51,12,12,11
15.3338,-91.4926,32.0,22,20,18,16
36.4595,36.852,-44.0,70,61,54,44
34.428,108.851,-14.0,51,12,12,11
34.428,108.853,-14.0,51,12,12,11
34.628,112.383,-12.0,71,62,55,45
24.0845,32.8861,-40.0,64,55,48,39
31.5624,46.1768,-40.0,72,44,40,32
20.4503,-97.3774,36.0,40,36,32,21
30.794,34.7752,-42.0,73,63,56,35
31.62,45.9342,-40.0,72,44,40,32
29.381,67.6165,-33.0,74,64,57,46
18.4147,-88.7915,30.0,75,32,25,16
29.7798,51.5761,-38.0,76,65,58,47
14.8745,-90.663,31.0,28,20,18,16
13.8006,-89.3892,30.0,77,66,59,48
19.8136,-98.5566,35.5,78,29,26,21
31.6267,-91.8183,40.0,79,67,60,49
20.2153,-87.4293,32.0,27,25,22,16
18.2247,30.7456,-38.0,80,68,61,50
36.5231,34.1233,-44.0,81,69,62,51
36.5217,34.1255,-44.0,81,69,62,51
36.5217,34.1255,-44.0,81,69,62,51
43.5177,67.7698,-35.0,36,33,29,24
18.5353,31.8297,-38.0,38,34,30,25
39.495,35.3766,-45.0,82,70,63,52
35.671,36.5691,-43.0,83,71,64,44
32.5403,44.6047,-40.0,42,38,34,27
-6.4722,-79.7907,20.0,18,16,15,8
26.1578,31.9664,-40.0,41,37,33,26
37.0804,-8.1202,-44.0,84,72,65,53
17.4841,-92.0462,32.0,85,73,66,16
20.4485,-97.3772,35.0,40,36,32,21
34.0754,-5.5535,-41.0,86,74,67,54
21.091,-89.59,32.0,87,24,22,16
16.3952,-90.2044,30.0,59,50,25,16
20.4483,-97.3777,34.0,40,36,32,21
33.3537,44.2023,-39.0,88,48,34,27
30.9617,46.1051,-38.0,89,75,40,32
30.1996,53.1789,-36.0,55,43,39,31
16.8998,-90.9645,30.0,24,22,20,16
20.3587,-89.7711,31.0,26,24,22,16
20.319,-87.3672,30.0,27,25,22,16
16.7027,-93.0041,30.5,90,76,68,55
-6.5115,-79.8396,19.0,18,16,15,8
17.7657,-88.6528,29.0,31,28,25,16
19.3294,-98.8921,33.0,32,29,26,21
16.3952,-90.2044,29.0,59,50,25,16
32.6357,14.2892,-41.0,91,77,69,56
39.369,-7.3865,-43.0,92,78,70,57
16.9002,-90.966,29.0,24,22,20,16
-8.1048,-79.045,18.0,19,17,16,14
-11.0233,-77.6338,17.0,7,7,7,7
14.633,-90.549,28.0,93,20,18,16
-8.106,-79.079,18.0,19,17,16,14
39.0554,43.357,-39.0,94,79,71,58
37.0807,-8.1208,-40.0,84,72,65,53
39.2034,29.6087,-43.0,95,80,72,59
13.8006,-89.3895,27.0,77,66,59,48
22.7312,32.2626,-36.0,96,59,52,42
34.625,112.375,-11.0,71,62,55,45
36.4222,9.2183,-42.0,97,81,73,60
14.9236,-92.1796,28.0,98,82,74,16
15.8272,-91.8841,28.0,48,19,18,16
31.6268,-91.8187,36.0,79,67,60,49
31.621,45.933,-36.0,72,44,40,32
-33.7181,143.0812,13.0,99,83,75,61
-13.5024,-76.045,15.5,5,5,5,5
25.7188,32.6021,-36.0,39,35,31,26
40.0995,-8.4938,-41.0,100,84,76,57
44.5928,33.8009,-44.0,101,85,77,62
33.1101,35.5309,-38.0,58,49,44,35
32.0098,48.5198,-35.0,34,31,28,23
21.1685,94.8584,-19.0,17,15,14,13
-8.0948,-79.067,17.0,19,17,16,14
-10.8805,-77.5148,16.0,7,7,7,7
32.2767,35.8902,-37.0,102,49,44,35
32.6392,14.2951,-38.0,91,77,69,56
7.8159,80.3116,-25.0,103,86,78,63
37.1101,25.3723,-40.0,104,87,79,64
18.5358,31.8242,-33.0,38,34,30,25
20.681,-88.57,27.0,105,88,22,16
16.703,-93.0037,27.0,90,76,68,55
33.484,44.728,-35.0,106,48,34,27
30.963,46.103,-33.0,89,75,40,32
21.1603,-99.3965,30.0,54,46,42,33
21.0915,-89.5967,27.0,87,24,22,16
40.1402,44.5384,-37.0,67,58,51,41
19.329,-98.8923,29.0,32,29,26,21
14.8707,-90.6661,24.0,28,20,18,16
29.9359,52.8926,-32.0,50,43,39,31
30.6521,61.401,-30.0,23,21,19,17
41.606,15.8836,-42.0,107,89,80,65
21.1935,94.8951,-18.0,17,15,14,13
17.4841,-92.0462,26.0,85,73,66,16
20.2487,-89.647,26.0,26,24,22,16
-8.1104,-79.0747,16.0,19,17,16,14
19.0013,-88.2304,25.0,108,90,25,16
32.3252,35.7273,-35.0,102,49,44,35
14.9232,-92.1798,25.0,98,82,74,16
25.2934,32.5562,-33.0,109,35,31,26
15.8276,-91.8838,25.0,48,19,18,16
22.4582,-102.8218,30.0,43,39,35,28
-13.5024,-76.045,14.0,5,5,5,5
34.0741,-5.5549,-32.0,86,74,67,54
16.8988,-92.0097,25.0,110,91,66,16
45.3739,36.526,-40.0,111,92,81,66
37.9976,-7.9494,-34.0,112,93,82,57
20.5536,75.7012,-24.0,113,94,83,67
16.9578,-96.4496,26.0,114,95,84,68
20.2149,-87.4294,24.0,27,25,22,16
33.484,44.728,-33.0,106,48,34,27
32.637,14.2935,-34.0,91,77,69,56
19.2678,-103.7271,28.0,115,96,85,69
18.2779,-93.2003,25.0,116,97,86,70
36.3222,5.7351,-36.0,117,98,87,71
42.4112,11.2866,-40.0,118,99,88,72
21.1831,94.8905,-17.0,17,15,14,13
38.0381,-3.6259,-34.0,119,100,89,73
42.1512,24.752,-39.0,120,101,90,74
20.681,-88.57,24.0,105,88,22,16
-8.1134,-79.0769,15.0,19,17,16,14
-14.8193,-75.1162,13.0,121,102,91,75
32.7088,20.9541,-34.0,122,103,92,76
16.0039,-90.0439,23.0,123,50,25,16
20.1692,-89.3388,24.0,26,24,22,16
30.9566,31.5166,-33.0,124,104,93,43
16.9717,-96.492,25.0,114,95,84,68
16.9584,-96.4505,25.0,114,95,84,68
40.7483,14.4889,-38.0,125,105,94,77
-10.8712,-77.5308,14.0,7,7,7,7
45.9147,22.8148,-41.0,126,106,95,78
30.962,46.104,-31.0,89,75,40,32
13.783,104.5372,-13.0,127,107,96,18
14.9232,-92.18,23.0,98,82,74,16
40.0992,-8.4949,-33.0,100,84,76,57
40.1663,-6.1008,-34.0,128,108,97,79
-7.077,-79.684,15.0,129,109,15,8
18.1067,-89.8116,23.0,130,110,25,16
26.5547,31.6199,-31.0,44,37,33,26
-2.5398,-78.8749,15.0,131,111,98,80
38.4823,22.5013,-36.0,132,112,99,81
34.375,108.685,-11.0,51,12,12,11
37.385,27.2563,-35.0,133,113,100,82
-11.953,-77.1186,13.5,9,8,8,7
44.7057,8.8671,-40.0,134,114,101,83
36.3871,10.1312,-34.0,135,115,102,60
16.8988,-92.0103,23.0,110,91,66,16
20.173,-89.579,23.0,26,24,22,16
17.7647,-88.6531,22.0,31,28,25,16
32.6382,14.292,-32.0,91,77,69,56
19.5521,-97.4897,25.0,46,41,37,21
19.5517,-97.4868,25.0,46,41,37,21
